,Latitude,Longitude
"Shreveport, LA",32,-93
"Sioux City, IA",42,-96
"Sioux Falls, SD",43,-96
"South Bend, IN",41,-86
"Spartanburg, NC",34,-81
"Spokane, WA",47,-117
"Springfield, IL",39,-89
"Springfield, MA",42,-72
"Springfield, MO",37,-93
"Springfield, OH",39,-83
"Stamford, CT",41,-73
"Steubenville, OH",40,-80
"Stockton, CA",37,-121
"Sudbury, ON",46,-80
"Superior, WI",46,-92
"Syndey, NS",46,-60
"Syracuse, NY",43,-76
"Tacoma, WA",47,-122
"Tallahassee, FL",30,-84
"Tampa, FL",27,-82
"Terre Haute, IN",39,-87
"Texarkana, TX",33,-94
"Thunder Bay, ON",48,-89
"Timmins, ON",48,-81
"Toledo, OH",41,-83
"Topeka, KS",39,-95
"Toronto, ON",43,-79
"Trenton, NJ",40,-74
"Trois-Rivieres, QC",46,-72
"Troy, NY",42,-73
"Tucson, AZ",32,-110
"Tulsa, OK",36,-95
"Urbana, IL",40,-88
"Utica, NY",43,-75
"Vancouver, BC",49,-123
"Victoria, BC",48,-123
"Waco, TX",31,-97
"Walla Walla, WA",46,-118
"Washington, DC",38,-77
"Waterloo, IA",42,-92
"West Palm Beach, FL",26,-80
"Wheeling, WV",40,-80
"Whitehorse, YK",60,-135
"White Plains, NY",41,-73
"Wichita, KS",37,-97
"Wilkes-Barre, PA",41,-75
"Wilmington, DE",39,-75
"Wilmington, NC",34,-77
"Windsor, ON",42,-82
"Winnipeg, MB",49,-97
"Winston-Salem, NC",36,-80
"Worcester, MA",42,-71
"Yakima, WA",46,-120
"Yellowknife, NT",62,-114
"Youngstown, OH",41,-80
"Yuma, AZ",32,-114
"Zanesville, OH",39,-82
